"id","title","url","local_file","bytes","status"
"B10P","中国电信5G智慧矿山行业白皮书PDF","https://download.s21i.co99.net/28254755/0/0/ABUIABA9GAAg5_OuwgYotNb55QY.pdf?f=%E4%B8%AD%E5%9B%BD%E7%94%B5%E4%BF%A15G%E6%99%BA%E6%85%A7%E7%9F%BF%E5%B1%B1%E8%A1%8C%E4%B8%9A%E7%99%BD%E7%9A%AE%E4%B9%A6.pdf&v=1749791207","D:\chuangye\IntelliSearch\autoclaw_submit\mineintel-application-kg\data\raw_docs\B10P_中国电信5G智慧矿山行业白皮书PDF.pdf","13210997","downloaded"
"B11P","中国电信5G智慧矿山融合方案白皮书PDF","https://download.s21i.co99.net/13115299/0/1/ABUIABA9GAAgxeLjpAYo4P7XRA.pdf?f=%E4%B8%AD%E5%9B%BD%E7%94%B5%E4%BF%A15G%E6%99%BA%E6%85%A7%E7%9F%BF%E5%B1%B1%E8%9E%8D%E5%90%88%E6%96%B9%E6%A1%88%E7%99%BD%E7%9A%AE%E4%B9%A6%EF%BC%882023%EF%BC%89.pdf&v=1687744837","D:\chuangye\IntelliSearch\autoclaw_submit\mineintel-application-kg\data\raw_docs\B11P_中国电信5G智慧矿山融合方案白皮书PDF.pdf","3182805","downloaded"
"B12P","中国电信5G智慧矿山终端融合白皮书PDF","https://download.s21i.co99.net/28254755/0/0/ABUIABA9GAAgmpe4wgYoiNnzkgM.pdf?f=%E4%B8%AD%E5%9B%BD%E7%94%B5%E4%BF%A15G%E6%99%BA%E6%85%A7%E7%9F%BF%E5%B1%B1%E7%BB%88%E7%AB%AF%E8%9E%8D%E5%90%88%E7%99%BD%E7%9A%AE%E4%B9%A6.pdf&v=1749945242","D:\chuangye\IntelliSearch\autoclaw_submit\mineintel-application-kg\data\raw_docs\B12P_中国电信5G智慧矿山终端融合白皮书PDF.pdf","5308197","downloaded"
"B13A","智慧矿山5G自动驾驶白皮书发布页","https://mse.xauat.edu.cn/info/1039/2027.htm","D:\chuangye\IntelliSearch\autoclaw_submit\mineintel-application-kg\data\raw_docs\B13A_智慧矿山5G自动驾驶白皮书发布页.html","10554","downloaded"
"B13B","中国信通院智慧矿山自动驾驶服务页","https://service.caict.ac.cn/ywjs/202011/t20201130_1752.html","D:\chuangye\IntelliSearch\autoclaw_submit\mineintel-application-kg\data\raw_docs\B13B_中国信通院智慧矿山自动驾驶服务页.html","17370","downloaded"
"B18A","Schneider Electric Mining Operations Excellence direct PDF","https://download.schneider-electric.com/files?p_enDocType=White+Paper&p_File_Name=whitepaperse-simsciaccelerateminingoperationsexcellence01-15-150226102133-conversion-gate02.pdf&p_Doc_Ref=PNSS-0194","D:\chuangye\IntelliSearch\autoclaw_submit\mineintel-application-kg\data\raw_docs\B18A_Schneider_Electric_Mining_Operations_Excellence_direct_PDF.pdf","674401","downloaded"
"B20A","Caterpillar MineStar Operations page","https://www.cat.com/en_US/by-industry/mining/minexpo2024/technology/minestar-solutions/minestar-operations-solutions.html","","0","远程服务器返回错误: (403) 已禁止。"
